Molecule_ID,InChIKey,SMILES,alpha,beta,delta,gamma
CFMOL_000001,AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,,25000.0
CFMOL_000002,AABNQRYFIHKFQR-UHFFFAOYSA-N,NC(=O)c1cnc(NC(=O)c2cccc(-c3cc(-c4ccnn4C4CCCCC4)c4c(N)ncnn34)c2)s1,,,10.0,
CFMOL_000003,AABPDGGGCNSJFP-QMMMGPOBSA-N,C[C@H](Nc1nc(N)nc(C(F)(F)F)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1ccn[nH]1,10000.0,671.0,309.0,10000.0
CFMOL_000004,AAEQJVFRCOKAEE-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(CO)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,5500.0,,,
CFMOL_000005,AAFBLTKTYVFOLS-UHFFFAOYSA-N,COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1nc(cs1)-c1ncnc3cc-2sc13,123.0,,,
CFMOL_000006,AAGJUFFBIXYCPU-UHFFFAOYSA-N,Cc1ncc(-c2nc(-c3cc(S(=O)(=O)NC45CCC(CO)(CC4)OC5)ccc3C)cnc2N)s1,,,100.0,100.0
CFMOL_000007,AAHKGRWRYBCWDL-UHFFFAOYSA-N,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,135.0,294.0,17.0,116.0
CFMOL_000008,AAHPRKDUIDQODH-UHFFFAOYSA-N,CN1CCC(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2)CC1,708.0,,,
CFMOL_000009,AAISIAHCALLSAM-XBMOYTETSA-N,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,91.0,,,
CFMOL_000010,AAJJPPFJEBWFIA-UHFFFAOYSA-N,COc1cc(N(C)C)cc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,,18.5,,
CFMOL_000011,AAKDVCHEOWNPHE-UHFFFAOYSA-N,COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cn(C)nc1C)c(=O)n3C,30000.0,30000.0,30000.0,30000.0
CFMOL_000012,AAKJGXGPYVKGQA-UHFFFAOYSA-N,COc1ccc(Nc2cc(-c3cnc(N)nc3)nc(N3CCOCC3)n2)cc1OC,,,,142.0
CFMOL_000013,AAKOOCDMPALFJX-UHFFFAOYSA-N,Cc1cc(C(=O)Nc2ccc(C)nc2)c2nc(C)nc(N)c2c1,88.0,,,
CFMOL_000014,AALFLVYVPQEOFT-UHFFFAOYSA-N,CC(NC(=O)c1c(N)nn2cccnc12)C1CC(Cl)C2CNNC2C1C1=CCN(C(=O)OCc2ccccc2)CC1,,,2000.0,500.0
CFMOL_000015,AALXRNLICFMLQF-JTQLQIEISA-N,C[C@H](Nc1nc(N)nc(N)c1Cl)c1nc2cccc(Cl)c2c(=O)n1N1CCN(CC(F)(F)F)CC1,,,170000.0,10000000.0
CFMOL_000016,AAMKUWYDJAVAKV-UHFFFAOYSA-N,COc1ncc(-c2cc3c(C)nc(N)cc3n(C3CCCC3)c2=O)cc1NS(=O)(=O)c1ccc(F)cc1F,12.0,,,
CFMOL_000017,AAOBROJGIYHFTK-OAHLLOKOSA-N,COc1ncc(-c2ccc3ncn(C[C@@H](C)C(=O)NC4CC4)c(=O)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl,2.7,,,
CFMOL_000018,AAOTYHCFSWYHSP-UHFFFAOYSA-N,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)C2CCCCC2(F)F)c1,55000.0,,,
CFMOL_000019,AAPCKJYNFYZRTA-UHFFFAOYSA-N,COc1ccc(-c2cc(C#N)c3c(N)ncnn23)cc1N1CCOC(C)(C)C1=O,,,5.0,
CFMOL_000020,AAPDZIUHIRPCOU-NSHDSACASA-N,COc1cccc(-n2c([C@H](C)Nc3nc(N)nc(N)c3C#N)nc3cccc(Cl)c3c2=O)c1,,,0.9,
CFMOL_000021,AAQFPWZLHGJRCK-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(-c2cnn(C)c2)cc1NC(=O)c1ccccc1S(C)(=O)=O,55000.0,,,
CFMOL_000022,AARBAVYWWQCGFS-BXQOSRMJSA-N,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10.0,,,
CFMOL_000023,AATCBLYHOUOCTO-UHFFFAOYSA-N,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,4.0,0.5,0.1,590.0
CFMOL_000024,AATSAMRSGNEIGC-INIZCTEOSA-N,CCn1c(-c2cnc(C)nc2)nc2c(O[C@H]3CCN(C(=O)C4CCC4)C3)ncnc21,,,1.2,
CFMOL_000025,AATSTFNPRASINP-UHFFFAOYSA-N,NC(=O)CNc1cnc2ccc(-c3ccc4oc(N)nc4c3)cc2n1,3.8,,,
CFMOL_000026,AAUPXCIMCDSDQH-UHFFFAOYSA-N,[C-]#[N+]c1cc(C(C)n2nc(C(F)F)c3c(N)ncnc32)c(OC)c(C2CN(C(C)=O)C2)c1C,,,10.0,
CFMOL_000027,AAVDYCALQCJXLM-UHFFFAOYSA-N,CCCc1cc(S(C)(=O)=O)ccc1C(=O)N1CCOc2ccc(-c3ccc4nc[nH]c4c3)cc2C1,3000.0,,,
CFMOL_000028,AAWZQJPEIFGHDO-UHFFFAOYSA-N,CCOc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(F)c1C1CN(CC)C1,,10.0,10.0,
CFMOL_000029,AAZKJQXQGRGOED-SFHVURJKSA-N,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)c5cnco5)C4)cc32)cc1C#N,94.0,,9.0,
CFMOL_000030,ABBYYXANEINXOV-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,404.0,,,
CFMOL_000031,ABEDHXMOGHHQTM-UHFFFAOYSA-N,COc1ncc(-c2cc3cc(-c4ccccc4)c(N)nc3cn2)cc1NS(=O)(=O)c1ccc(F)cc1F,,,,1258.93
CFMOL_000032,ABEVETPHKVRJTO-UHFFFAOYSA-N,CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,3162.0,1258.93,63.0,1995.0
CFMOL_000033,ABEZBUPUYCZAAU-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,69.0,,,122.0
CFMOL_000034,ABFSEKIPQPPYFD-OAHLLOKOSA-N,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)cc(S(=O)(=O)[C@@H]3CCOC3)c2)cn1,9100.0,,,
CFMOL_000035,ABFSEKIPQPPYFD-UHFFFAOYSA-N,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)cc(S(=O)(=O)C3CCOC3)c2)cn1,7600.0,,,
CFMOL_000036,ABGNFFDATFTWBU-IEOAHBGTSA-N,CN(CC1CN(C(=O)/C=C/c2nc(C(F)F)no2)C1)c1nc(OC[C@@]23CCCN2C[C@H](F)C3)nc2c(F)c(-c3cccc4cccc(Cl)c34)ncc12,10.0,,,
CFMOL_000037,ABGSCYNEMFPWAX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)N3CC(O)C3)nc2)cc1-c1cnc2c(N)ncnn12,,,100.0,100.0
CFMOL_000038,ABHYRAOZUATJPX-UHFFFAOYSA-N,Cc1cccc2cc(Cn3nc(-c4cccc(O)c4)c4c(N)ncnc43)n(-c3ccccc3F)c(=O)c12,10000.0,10000.0,100.0,1000.0
CFMOL_000039,ABJJJNGYDSUQEE-UHFFFAOYSA-N,Cc1ccncc1-c1nc2ccccc2cc1Cn1nc(-c2cccc(O)c2)c2c(N)ncnc21,,,100.0,1000.0
CFMOL_000040,ABKGTFFKSJEJIQ-FQEVSTJZSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,968.0,,,
CFMOL_000041,ABKGTFFKSJEJIQ-HXUWFJFHSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,311.0,,,
CFMOL_000042,ABKTZGMEAXGKRA-FQEVSTJZSA-N,Cc1ccccc1-n1c([C@H](C)NC(=O)c2c(N)nn3cccnc23)cc2cccc(C#Cc3cnn(C)c3)c2c1=O,2000.0,2000.0,2000.0,2000.0
CFMOL_000043,ABKYAMSVHWBFGO-DHRITJCHSA-N,O=C(NO)c1ccc(/C=N/NC(=O)c2cc(N3CCOCC3)nc(-c3cccc4[nH]ncc34)n2)cc1,8.3,,,
CFMOL_000044,ABNIYUZUEXLRAX-UHFFFAOYSA-N,N#CC1=C(c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c4c2CCN4C(=O)NC3c2cc(F)ccc2Cl)C=CC(N)N1,250.0,,,
CFMOL_000045,ABNYACFXLIXBBW-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,226.0,,,
CFMOL_000046,ABOMOADQIGPATC-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(Cc2nc3c(N4CCOCC4)nc(-c4cccc5[nH]ncc45)cn3c2Br)CC1,47.0,,,
CFMOL_000047,ABOUWUWXUJHANF-UHFFFAOYSA-N,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ccn(CC(F)(F)F)c4n3)cc2)cc1,1.4,,,
CFMOL_000048,ABPFKTABGJCISD-UHFFFAOYSA-N,CC(=O)Nc1nc2ccc(-c3nn(Cc4cc5cccc(C)c5c(=O)n4C(C)C)c4ncnc(N)c34)cc2s1,100000.0,10000.0,100.0,
CFMOL_000049,ABPNJEWMFZAFPX-GFOWMXPYSA-N,CC1CN(c2ncc(C(=O)N[C@H](C)c3cccnc3)cc2NC(=O)c2csc3ccccc23)c2ccccc2O1,5500.0,,,
CFMOL_000050,ABQRVDGZZXHLLT-UHFFFAOYSA-N,Cc1nc(Nc2cnccn2)cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)n1,122.0,,,
CFMOL_000051,ABQTXDWCWPPJIW-UHFFFAOYSA-N,CN1CCN(Cc2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)CC1,,,4.0,
CFMOL_000052,ABRXGDFENWZLCW-UHFFFAOYSA-N,Nc1ccc2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2c1,,,,17000.0
CFMOL_000053,ABSAZANWVDXDLH-KDURUIRLSA-N,C[C@@H]1CN(C(=O)C(C)(C)O)C[C@H](C)N1c1cccc(-c2cc(-c3cnnn3C3CCOCC3)c3c(N)ncnn23)c1,,,4.0,
CFMOL_000054,ABSHJLDAUIAXFN-UHFFFAOYSA-N,COc1ccc(Nc2cc3c(cn2)n(CCOCc2ccccc2)c(=O)n3C2CCCC2)c(C)c1,100000.0,,,
CFMOL_000055,ABSYOVABXRUJEW-AWEZNQCLSA-N,CS(=O)(=O)C1(c2nc(-c3cc(C(F)(F)F)cc4[nH]ccc34)nc3c2OC[C@@H]2COCCN32)CCC1,19500.0,,,
CFMOL_000056,ABTZOTFQUOECKK-OSFYOIPJSA-N,COC1CC(n2c(=O)n(C)c3nnc4ccc(-c5ccc([C@@H](C)OCCN6CCCC6)nc5)cc4c32)C1,10000.0,10000.0,10000.0,10000.0
CFMOL_000057,ABTZOTFQUOECKK-STZQEDGTSA-N,CO[C@H]1C[C@H](n2c(=O)n(C)c3nnc4ccc(-c5ccc([C@@H](C)OCCN6CCCC6)nc5)cc4c32)C1,10000.0,10000.0,10000.0,10000.0
CFMOL_000058,ABUIRTSLQKMSHW-SFHVURJKSA-N,Cc1cncc(-n2c([C@@H](Nc3nc(N)nc(N)c3C#N)C3CC3)nc3cccc(Cl)c3c2=O)c1,,,4.0,
CFMOL_000059,ABUTYLPANGJVFE-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCc2cnccn2)cc1-c1cnc2c(N)ncnn12,,,100.0,100.0
CFMOL_000060,ABUXQQPDPARCQB-UHFFFAOYSA-N,COc1ncc(-c2nc(N3CCOCC3)nc3c(CN4CCN(C(=O)OC(C)(C)C)CC4)csc23)cc1NS(C)(=O)=O,,,35.0,
CFMOL_000061,ABVGSFPPWPDZDN-UHFFFAOYSA-N,CN1CCN(c2ccc(-c3ccc4c(c3)N(c3nc5c(s3)C(=O)NC(C)(C)C5)CCO4)nn2)CC1,,,231.0,1288.0
CFMOL_000062,ACAPGTVDTMWRSW-UHFFFAOYSA-N,CNC(=O)c1cnc(Nc2ccc3cccnc3c2)c(NC(=O)c2csc3ccccc23)c1,5500.0,,,
CFMOL_000063,ACAQSGUTZFZRSD-UHFFFAOYSA-N,O=C(c1nn(CC2CCCCC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,509.0,509.0,509.0,509.0
CFMOL_000064,ACCFLVVUVBJNGT-AWEZNQCLSA-N,CO[C@@H](C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21,6.07,77.6,23.8,23.8
CFMOL_000065,ACFZMQSESOTVDD-UHFFFAOYSA-N,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc(F)cc3cccnc23)c1,55000.0,,,
CFMOL_000066,ACGDYUMZDJRBCK-ZDUSSCGKSA-N,C[C@H](Nc1ncnc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cccc(NC(=O)NC2(C(F)(F)F)CC2)c1,,,3000.0,
CFMOL_000067,ACHKRNVARASYKI-UHFFFAOYSA-N,CCc1noc(Cn2nc(C(=O)N3CCOCC3)c3c2-c2ccccc2S(=O)(=O)C3)n1,1920.0,1920.0,1920.0,1920.0
CFMOL_000068,ACHODBZOYICNTK-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(N2CC(N)C2)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,5500.0,,,
CFMOL_000069,ACKBSIHRAOXNBZ-LBPRGKRZSA-N,CC(C)NC(=O)c1nc(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)cnc1N,,,2000.0,100.0
CFMOL_000070,ACKVBZQSJDPEIS-UHFFFAOYSA-N,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,0.2692,,,
CFMOL_000071,ACNJOMWVEWCPGQ-UHFFFAOYSA-N,CCn1c(-c2cnc(C)nc2)nc2c(OC3CN(C(=O)C4CC4)CC34CC4)ncnc21,,,1.3,
CFMOL_000072,ACOIHWFRGXUVFL-UHFFFAOYSA-N,Cc1ccc(C(C)(O)C(F)F)cc1-c1cnc2c(N)nc(-c3ccn(C)n3)cn12,,,500.0,100.0
CFMOL_000073,ACPURVIILGKNKV-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)N1CCN(c2nc(NCCN3CCOCC3)nc(N3CCOCC3)n2)CC1,40.56,,,
CFMOL_000074,ACQZFXBAXXIVCX-UHFFFAOYSA-N,Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,,,820.0,2400.0
CFMOL_000075,ACRVFUXUPCCBKG-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,66.0,,,
CFMOL_000076,ACSAZDYAONWBPF-UHFFFAOYSA-N,COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1cc(F)cc(F)c1,78.0,,,
CFMOL_000077,ACSTVTRCQUFXES-UHFFFAOYSA-N,CC(=O)Nc1nc2ccc(-c3sc(C)nc3C)cn2n1,6309.57,,100000.0,12589.0
CFMOL_000078,ACUFGEYZFYJIJB-UHFFFAOYSA-N,COc1ncc2cc1S(=O)(=O)NCCN(C)Cc1ccc3c(c1)N2CCO3,,,7943.0,
CFMOL_000079,ACWBFWBJDDHSBS-UHFFFAOYSA-N,Cc1c(-c2ccccc2)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,,59.0,85.0,
CFMOL_000080,ADAJAVXSMUVAED-UHFFFAOYSA-N,CNC(=O)c1cnc(N2CCc3ccccc32)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,55000.0,,,
CFMOL_000081,ADAJQVJOFYMYEA-UHFFFAOYSA-N,Cc1nc(C(=O)Nc2cc(-c3ccnc4[nH]ccc34)cc3[nH]ncc23)cs1,,,10000.0,1000.0
CFMOL_000082,ADBKGOYAPSGDOV-LBPRGKRZSA-N,C[C@H]1CN(c2cnc3ccc(-c4ccc5nc(N)oc5c4)cc3n2)CCN1,1000.0,1000.0,10000.0,10000.0
CFMOL_000083,ADBRPLRIKLEYTK-UHFFFAOYSA-N,COCCOc1cc(C(=O)O)nc2c(-c3ccc(O)cc3)nc(N3CCOCC3)nc12,2520.0,,,
CFMOL_000084,ADBUPFTVWSNTHI-UHFFFAOYSA-N,Nc1nc2cc(-c3ccc4ncc(-c5cn[nH]c5)nc4c3)ccc2o1,100.0,1000.0,1000.0,100.0
CFMOL_000085,ADBWZFPSFJYVPT-UHFFFAOYSA-N,CC(C)(c1cc(-c2cnc(N)cc2C(F)(F)F)nc(N2CCOCC2)n1)S(C)(=O)=O,13.0,,,
CFMOL_000086,ADCADUHNSKXDGZ-UHFFFAOYSA-N,CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccccc4)cc3)nc21,66.0,,,
CFMOL_000087,ADDKHACIHJBWDD-NRFANRHFSA-N,CN1CCC(OCCN2CCC[C@H](n3nc(C(=O)N4CCOCC4)c4c3-c3ccccc3S(=O)(=O)C4)C2)CC1,20.0,20.0,20.0,20.0
CFMOL_000088,ADEJUHRHOUCKCY-UHFFFAOYSA-N,CC(c1cccc(-c2cc(-c3ccnn3C3CCOCC3)c3c(N)ncnn23)c1)N1CC(C)(O)C1,,,3.0,
CFMOL_000089,ADFBGHLIVBZYKW-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCCC(C)(C)O)cc1-c1cnc(N)c(-c2cnn(CC(F)(F)F)c2)c1,,2040.0,70.0,44.0
CFMOL_000090,ADGGYDAFIHSYFI-UHFFFAOYSA-N,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,33.0,661.0,451.0,451.0
CFMOL_000091,ADGIJJMDIJFDPZ-YBFXNURJSA-N,C#Cc1ccn2ncc(/C=N/N(C)S(=O)(=O)c3cc([N+](=O)[O-])ccc3C)c2c1,2.4,30.0,41.0,
CFMOL_000092,ADGMDJYORUZUNO-UHFFFAOYSA-N,OCc1cccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)c1,25.0,,,975.0
CFMOL_000093,ADGQMJXQWWJGDU-UHFFFAOYSA-N,COc1cc(-c2cnc3ccc(NCc4ccco4)nn23)ccc1O,,,,6918.0
CFMOL_000094,ADHPKXSCGCUVNC-UHFFFAOYSA-N,COCNC(=O)N1CC(S(=O)(=O)c2cc(-c3cnc(N)nc3)cc(N3CCOCC3)c2)C1,110.0,,,
CFMOL_000095,ADIDIOGKAWIIFU-UHFFFAOYSA-N,COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CN(C(=O)C2(O)CC2)C1,,10.0,10.0,
CFMOL_000096,ADKXQESMQSLOTM-UHFFFAOYSA-N,Cc1cccc(-c2c(C(C)Nc3ncnc4[nH]cnc34)nc3cccc(C)n3c2=O)c1,,,300.0,
CFMOL_000097,ADLDTBCOFJMYII-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(C(=O)NC2CC(F)(F)C2)cc1NC(=O)c1nsc2ccccc12,300.0,,,
CFMOL_000098,ADLJEZREHNJMCU-UHFFFAOYSA-N,CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1,3.0,7.0,8.0,50.0
CFMOL_000099,ADLMIOHKFJXMCK-IRXDYDNUSA-N,N#Cc1cnc(-c2cn[nH]c2)nc1N1C[C@@H]2C[C@H]1CN2c1cccc(F)c1,,,42.0,
CFMOL_000100,ADLPRZLKGJDZJU-UHFFFAOYSA-N,Cc1cn2cc(-c3cc(N4CCOCC4)cc(S(=O)(=O)Cc4ccccc4)c3)cnc2n1,13000.0,,,
CFMOL_000101,ADLUAMASAHICPR-CTNGQTDRSA-N,Cc1ccccc1N[C@H]1CCN(C(=O)OC(C)(C)C)C[C@H]1C(=O)Nc1cc(F)cc(C(F)(F)F)c1,55000.0,,,
CFMOL_000102,ADLUAMASAHICPR-FPOVZHCZSA-N,Cc1ccccc1N[C@H]1CCN(C(=O)OC(C)(C)C)C[C@@H]1C(=O)Nc1cc(F)cc(C(F)(F)F)c1,55000.0,,,
CFMOL_000103,ADMIHZBYIXCGBK-INIZCTEOSA-N,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)CCO)C4)cc32)cc1F,2730.0,,109.0,
CFMOL_000104,ADNFEQUPFSSMHG-UHFFFAOYSA-N,COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1.Cl,100.0,,,
CFMOL_000105,ADOVHXDRRAJSSK-UHFFFAOYSA-N,CC(C)N1CCC(n2cnc3ccc(-c4ccc5oc(N)nc5c4)cc3c2=O)CC1,100.0,10000.0,10000.0,10000.0
CFMOL_000106,ADPHMDNTHNNUBG-UHFFFAOYSA-N,Cc1ccc(S(C)(=O)=O)cc1-c1cnc2c(N)nc(-c3cccc(OCC#N)c3)cn12,,,500.0,100.0
CFMOL_000107,ADQBVORZYPYONF-UHFFFAOYSA-N,Cn1cc(-c2cc(N3CCOCC3)c3[nH]c(C(=O)NCCCN4CCOCC4)nc3n2)cn1,,,16.0,
CFMOL_000108,ADQKWHMLZWYXPE-UHFFFAOYSA-N,CC(Nc1ccc(F)c(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,170.0,6.0,64.0,1800.0
CFMOL_000109,ADRXIYISLMNDEM-UHFFFAOYSA-N,Cc1cccc2cc(CNC(=O)c3nccnc3N)c(N(C)CCN(C)C(=O)c3cncn3C)nc12,,,150.0,
CFMOL_000110,ADSDNLVIHODCEH-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1S(=O)c1nc(-c2cnc3ccc(Cl)cn23)cs1,31.0,,,
CFMOL_000111,ADTBLSNEZSDCAS-UHFFFAOYSA-N,CCc1ncnc(N2CCC(O)(C(C)C)CC2)c1C#Cc1ccc(C)nc1,172.0,,,
CFMOL_000112,ADTCCVMJGTXFQL-UHFFFAOYSA-N,Cc1nc(N)nc(-c2c(Nc3ccn[nH]3)nc3ccc(-c4ccccc4C)cn23)n1,393.0,,,
CFMOL_000113,ADTWWHHWJFTYKM-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)CCC(C)(C)O)cc1-c1cnc2c(N)nc(C(F)(F)F)nn12,,,2000.0,100.0
CFMOL_000114,ADUBJHAQOLSRND-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)N(C)CC(C)(C)O)c(F)c2)c1C#Cc1ccc(N)nc1,84.0,,,
CFMOL_000115,ADZFYMXQYRNPPC-UHFFFAOYSA-N,CC(=O)N1CCN(c2cc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)ccn2)CC1,,,5.0,
CFMOL_000116,AEAKSVDSAHEHPK-UHFFFAOYSA-N,CNC(=O)c1cc(Nc2cccc(F)c2)cc(-c2ccnc(NC(=O)C3CCOCC3)c2)c1,40000.0,,,
CFMOL_000117,AEAYYWHIJFMJBX-UHFFFAOYSA-N,Cc1cc2nnc(C)n2cc1-c1cccc(-c2cc(-c3ccnn3C3CCOCC3)c3c(N)ncnn23)c1,,,1.0,
CFMOL_000118,AEBQIHYCIRDMOS-NSHDSACASA-N,C[C@H](Nc1nc(N)nc(N)c1C#N)c1cn(-c2cccc(S(C)(=O)=O)c2)c2nccc(Cl)c12,,,17.0,
CFMOL_000119,AECDBHGVIIRMOI-GRGXKFILSA-N,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,9000.0,9000.0,9100.0,3200.0
CFMOL_000120,AECDBHGVIIRMOI-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCC2)C1,9000.0,9000.0,9100.0,3200.0
CFMOL_000121,AECYPBRDQVSQHM-UHFFFAOYSA-N,CC(=O)Oc1c(Br)cc(Br)cc1C1OC(c2ccc3c(c2)OCCO3)=NN1C(C)=O,,,,1980.0
CFMOL_000122,AEDFZMSOPOQMES-UHFFFAOYSA-N,O=C(c1nn(C2CCCN(Cc3ccccc3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,540.0,540.0,540.0,540.0
CFMOL_000123,AEDNYWWGUQTNJE-UHFFFAOYSA-N,CN(C)c1nc2ccc(-c3nc(N4CCNCC4)nc(N4CCOCC4)n3)cc2s1,10000.0,,,
CFMOL_000124,AEEWLEXOYMWVTJ-UHFFFAOYSA-N,CCS(=O)(=O)Nc1cncc(-c2ccc3nc(-c4nc(C)c(C)[nH]4)oc3c2)c1,,,1000.0,250.0
CFMOL_000125,AEFVSAJCHKJTDF-UHFFFAOYSA-N,CCOC(=O)N1CCN(c2cnc3ccc(-c4ccc5oc(N)nc5c4)cc3n2)CC1,100.0,10000.0,10000.0,10000.0
CFMOL_000126,AEFZPEOUYXXEED-UHFFFAOYSA-N,Cc1ccc(CN2CCCN(c3nc4c(C)cccc4cc3CNC(=O)c3nccnc3N)CC2)o1,,,1000.0,
CFMOL_000127,AEGDYADXTPTSAK-SDQBBNPISA-N,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,1350.0,,,530.0
CFMOL_000128,AEIAUSDERBJKPI-ZETCQYMHSA-N,C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2c(F)ccc(Cl)c2c(=O)n1-c1cnc(N)cn1,,4.4,3.5,630.0
CFMOL_000129,AEIPCMGZCAFHRI-UHFFFAOYSA-N,FC(F)(F)c1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,3981.0,794.0,19.95,3162.0
CFMOL_000130,AEIPQWQRUBJPGJ-BLLLJJGKSA-N,Oc1cccc(-c2nccc([C@@]34CCOC[C@@H]3C4)n2)c1,6309.57,,3162.0,
CFMOL_000131,AEIPQWQRUBJPGJ-UHFFFAOYSA-N,Oc1cccc(-c2nccc(C34CCOCC3C4)n2)c1,6309.57,,3981.0,
CFMOL_000132,AEIPQWQRUBJPGJ-WBMJQRKESA-N,Oc1cccc(-c2nccc([C@]34CCOC[C@H]3C4)n2)c1,2511.8900000000003,,1258.93,
