Molecule_ID,InChIKey,SMILES,alpha,beta,delta,gamma
CFMOL_005233,HFCCQDGBJOVOAY-AWEZNQCLSA-N,CCn1ncc(-c2nc3c(O[C@H]4CCN(C(=O)C5CC(F)(F)C5)C4)ncnc3n2C)c1C,,,13.0,
CFMOL_005234,HFCUOGDBTTWZPG-UHFFFAOYSA-N,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)c3ccc(NC(=O)c4ccncc4)cc3n2)cn1,419.0,,,
CFMOL_005235,HFDGVAZLABKEEV-UHFFFAOYSA-N,COc1ncc(-c2cc3c(N4CCOCC4)ncnc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F,7.2,50.0,3.9,12.0
CFMOL_005236,HFELRNZIXKMMLK-ICSRJNTNSA-N,CC[C@H]1[C@H](c2ccc(OC)cc2)OC(=O)N1c1cc(-c2cnc(N)nc2C(F)(F)F)nc(N2CCOCC2)n1,78.0,96.0,27.0,5800.0
CFMOL_005237,HFFKVQRHOIJOSY-UFXYQILXSA-N,C=CC(O)C(C)(C)N1CCN(CC#Cc2cccc3nc([C@@H]4CCCN4c4ncnc(N)c4C#N)n(-c4ccccc4)c(=O)c23)CC1,,,60.0,
CFMOL_005238,HFFMOOODCGRSAX-UHFFFAOYSA-N,CC(=O)N1CCc2c(nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)cn23)C1,13.0,,,
CFMOL_005239,HFFRCQNZCDMBSN-UHFFFAOYSA-N,Nc1nc2ccc(-c3ccc4ncc(C(=O)N5CCOCC5)n4c3)cc2s1,1000.0,10000.0,10000.0,1000.0
CFMOL_005240,HFGDXJQGICLTIE-UHFFFAOYSA-N,CC(C)n1nc(C#Cc2cccc(O)c2)c2c(N)ncnc21,34.0,316.0,21.0,69.0
CFMOL_005241,HFGLQUQBVLRJAP-IPYPFGDCSA-N,Cc1cc2c(cc1Nc1ncc3c(n1)n([C@H]1C[C@@H]4CC[C@H]1C4)c(=O)n3C)OCO2,,,1000.0,
CFMOL_005242,HFGTXYOYKNUWPZ-SFHVURJKSA-N,COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)c5ccoc5)C4)c3C2)cc1C,1199.0,,11.0,
CFMOL_005243,HFIKWTYEHANIRQ-JTQLQIEISA-N,C[C@H](Nc1nc(N)nc(N)c1C#N)c1nn(-c2cccnc2)c2cc(F)ccc12,,,3.7,
CFMOL_005244,HFINNTNZDVJVFX-UHFFFAOYSA-N,CCc1cn2c(-c3cc(S(=O)(=O)NC4CCC(O)CC4)ccc3C)cnc2c(N)n1,,,100.0,100.0
CFMOL_005245,HFINNTNZDVJVFX-WKILWMFISA-N,CCc1cn2c(-c3cc(S(=O)(=O)N[C@H]4CC[C@H](O)CC4)ccc3C)cnc2c(N)n1,,,100.0,100.0
CFMOL_005246,HFIUHRAQSIVLRP-QFIPXVFZSA-N,COc1ncc(-c2nc(N3CCOCC3)nc3c(CN4CCC(N5CCC[C@H]5CO)CC4)c(C)sc23)cc1NS(C)(=O)=O,,,4.7,
CFMOL_005247,HFIYXQQSDIYVCU-UHFFFAOYSA-N,Cc1ccc(C(C)(O)C(F)F)cc1-c1cnc2c(N)nc(-c3ccnn3C)nn12,,,100.0,100.0
CFMOL_005248,HFJYPUBMGOCWCZ-SFHVURJKSA-N,Cc1ccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)nc1,1000.0,550.0,100.0,100.0
CFMOL_005249,HFLGVZXFJSSMJK-LBPRGKRZSA-N,Cc1ncnc(N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2CCCN)c1C#N,,,25.0,10000.0
CFMOL_005250,HFMDLESHJZWMPX-UHFFFAOYSA-N,Nc1cccc(-c2nc(N3CCOCC3)c3[nH]ccc3n2)c1,7500.0,,,
CFMOL_005251,HFMJOZBBMINJJK-UHFFFAOYSA-N,COc1ncc2cc1S(=O)(=O)NCCCN(C)Cc1ccc3c(c1)N2CCO3,,,1258.93,
CFMOL_005252,HFMRZXCFNGHRFB-UHFFFAOYSA-N,CC(c1cc(C(=O)NCCN(C)C)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1ccc(F)c(F)c1,,6.0,,
CFMOL_005253,HFNJWNHCEQNJQQ-UHFFFAOYSA-N,Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)C#N)cc1,56.0,446.0,35.0,117.0
CFMOL_005254,HFNOQOKWCDZPFP-UHFFFAOYSA-N,CCn1c(-c2cnc(C)nc2)nc2c(OC3CN(C(=O)OC(C)(C)C)CC3F)ncnc21,,,3.3,
CFMOL_005255,HFPHPSPZASQJIU-NRFANRHFSA-N,Cc1cc(N2CCOc3ccc(O[C@H]4CCN(C(=O)C5CCOCC5)C4)cc32)cnc1S(C)(=O)=O,390.0,,14.0,
CFMOL_005256,HFPMUAILHNYPFP-UHFFFAOYSA-N,CCNC(=O)c1cn2cc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2n1,92.0,,,
CFMOL_005257,HFQOUUWXDRYBFH-UHFFFAOYSA-N,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)c3ccc(Nc4ccccn4)cc3n2)cn1,393.0,,,
CFMOL_005258,HFQUJIXXCBKPFJ-GFCCVEGCSA-N,C[C@@H](NC(=O)c1c(N)nn2cccnc12)c1cc(Cl)c2cncn2c1N1CCS(=O)(=O)CC1,,,100.0,100.0
CFMOL_005259,HFQUJIXXCBKPFJ-UHFFFAOYSA-N,CC(NC(=O)c1c(N)nn2cccnc12)c1cc(Cl)c2cncn2c1N1CCS(=O)(=O)CC1,,,100.0,100.0
CFMOL_005260,HFSBXUSWEVFJNU-UHFFFAOYSA-N,Cc1[nH]c(-c2cc(-c3cncc(N4CCOCC4)c3)ccn2)nc1CNC1CCOCC1,,,100.0,500.0
CFMOL_005261,HFVANGZKKLPTDI-ZDUSSCGKSA-N,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1,920.0,510.0,0.1,220.0
CFMOL_005262,HFXBHLPRJMROSI-CYBMUJFWSA-N,Cc1cc(-c2cc(-c3cc(S(=O)(=O)NC[C@@H](C)O)ccc3C)cnc2N)on1,,2400.0,280.0,41.0
CFMOL_005263,HFXBHLPRJMROSI-ZDUSSCGKSA-N,Cc1cc(-c2cc(-c3cc(S(=O)(=O)NC[C@H](C)O)ccc3C)cnc2N)on1,,4000.0,550.0,35.0
CFMOL_005264,HFYLRPMJKAWPSQ-UHFFFAOYSA-N,O=C(c1cnc2ccc(-c3cnc4[nH]ncc4c3)cn12)N1CCOCC1,1000.0,10000.0,10000.0,10000.0
